flower_name,target,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),petal area (cm^2),sepal area (cm^2)
setosa,0,5.1,3.5,1.4,0.2,0.27999999999999997,17.849999999999998
setosa,0,4.9,3.0,1.4,0.2,0.27999999999999997,14.700000000000001
setosa,0,4.7,3.2,1.3,0.2,0.26,15.040000000000001
setosa,0,4.6,3.1,1.5,0.2,0.30000000000000004,14.26
setosa,0,5.0,3.6,1.4,0.2,0.27999999999999997,18.0
setosa,0,5.4,3.9,1.7,0.4,0.68,21.060000000000002
setosa,0,4.6,3.4,1.4,0.3,0.42,15.639999999999999
setosa,0,5.0,3.4,1.5,0.2,0.30000000000000004,17.0
setosa,0,4.4,2.9,1.4,0.2,0.27999999999999997,12.76
setosa,0,4.9,3.1,1.5,0.1,0.15000000000000002,15.190000000000001
setosa,0,5.4,3.7,1.5,0.2,0.30000000000000004,19.980000000000004
setosa,0,4.8,3.4,1.6,0.2,0.32000000000000006,16.32
setosa,0,4.8,3.0,1.4,0.1,0.13999999999999999,14.399999999999999
setosa,0,4.3,3.0,1.1,0.1,0.11000000000000001,12.899999999999999
setosa,0,5.8,4.0,1.2,0.2,0.24,23.2
setosa,0,5.7,4.4,1.5,0.4,0.6000000000000001,25.080000000000002
setosa,0,5.4,3.9,1.3,0.4,0.52,21.060000000000002
setosa,0,5.1,3.5,1.4,0.3,0.42,17.849999999999998
setosa,0,5.7,3.8,1.7,0.3,0.51,21.66
setosa,0,5.1,3.8,1.5,0.3,0.44999999999999996,19.38
setosa,0,5.4,3.4,1.7,0.2,0.34,18.36
setosa,0,5.1,3.7,1.5,0.4,0.6000000000000001,18.87
setosa,0,4.6,3.6,1.0,0.2,0.2,16.56
setosa,0,5.1,3.3,1.7,0.5,0.85,16.83
setosa,0,4.8,3.4,1.9,0.2,0.38,16.32
setosa,0,5.0,3.0,1.6,0.2,0.32000000000000006,15.0
setosa,0,5.0,3.4,1.6,0.4,0.6400000000000001,17.0
setosa,0,5.2,3.5,1.5,0.2,0.30000000000000004,18.2
setosa,0,5.2,3.4,1.4,0.2,0.27999999999999997,17.68
setosa,0,4.7,3.2,1.6,0.2,0.32000000000000006,15.040000000000001
setosa,0,4.8,3.1,1.6,0.2,0.32000000000000006,14.879999999999999
setosa,0,5.4,3.4,1.5,0.4,0.6000000000000001,18.36
setosa,0,5.2,4.1,1.5,0.1,0.15000000000000002,21.32
setosa,0,5.5,4.2,1.4,0.2,0.27999999999999997,23.1
setosa,0,4.9,3.1,1.5,0.2,0.30000000000000004,15.190000000000001
setosa,0,5.0,3.2,1.2,0.2,0.24,16.0
setosa,0,5.5,3.5,1.3,0.2,0.26,19.25
setosa,0,4.9,3.6,1.4,0.1,0.13999999999999999,17.64
setosa,0,4.4,3.0,1.3,0.2,0.26,13.200000000000001
setosa,0,5.1,3.4,1.5,0.2,0.30000000000000004,17.34
setosa,0,5.0,3.5,1.3,0.3,0.39,17.5
setosa,0,4.5,2.3,1.3,0.3,0.39,10.35
setosa,0,4.4,3.2,1.3,0.2,0.26,14.080000000000002
setosa,0,5.0,3.5,1.6,0.6,0.96,17.5
setosa,0,5.1,3.8,1.9,0.4,0.76,19.38
